Edge,NoParade_Weight,Parade_Weight,Difference,E.Colour
1,4,9,FALSE,#BA0A30
2,2,10,FALSE,#BA0A30
3,1,6,FALSE,#BA0A30
4,2,2,TRUE,#616161
5,1,1,TRUE,#616161
6,3,8,FALSE,#BA0A30
7,1,1,TRUE,#616161
8,2,7,FALSE,#BA0A30
9,2,2,TRUE,#616161
10,4,9,FALSE,#BA0A30
11,2,10,FALSE,#BA0A30
12,2,2,TRUE,#616161
13,3,8,FALSE,#BA0A30
14,2,7,FALSE,#BA0A30
15,3,3,TRUE,#616161
16,2,2,TRUE,#616161
17,1,1,TRUE,#616161
18,2,2,TRUE,#616161
19,1,1,TRUE,#616161
20,1,1,TRUE,#616161
21,1,1,TRUE,#616161
22,1,1,TRUE,#616161
23,2,2,TRUE,#616161
24,1,1,TRUE,#616161
25,1,1,TRUE,#616161
26,1,1,TRUE,#616161
27,1,1,TRUE,#616161
28,1,1,TRUE,#616161
29,1,1,TRUE,#616161
30,1,1,TRUE,#616161
31,1,1,TRUE,#616161
32,1,6,FALSE,#BA0A30
33,2,1,FALSE,#BA0A30
34,1,1,TRUE,#616161
35,1,6,FALSE,#BA0A30
36,1,7,FALSE,#BA0A30
37,2,7,FALSE,#BA0A30
38,1.57,6,FALSE,#BA0A30
39,2,6,FALSE,#BA0A30
40,1,8,FALSE,#BA0A30
41,2,6,FALSE,#BA0A30
42,1,6,FALSE,#BA0A30
43,1,2,FALSE,#BA0A30
44,2,8,FALSE,#BA0A30
45,2,2,TRUE,#616161
46,2,6,FALSE,#BA0A30
47,1,6,FALSE,#BA0A30
48,1,6,FALSE,#BA0A30
49,1,7,FALSE,#BA0A30
50,2,7,FALSE,#BA0A30
51,2,1,FALSE,#BA0A30
52,1,1,TRUE,#616161
53,1,7,FALSE,#BA0A30
54,2,7,FALSE,#BA0A30
55,2,1,FALSE,#BA0A30
56,1,1,TRUE,#616161
57,1,1,TRUE,#616161
58,1,1,TRUE,#616161
59,1,1,TRUE,#616161
60,3,3,TRUE,#616161
61,1,1,TRUE,#616161
62,1,1,TRUE,#616161
63,2,2,TRUE,#616161
64,2,2,TRUE,#616161
65,1,1,TRUE,#616161
66,1,1,TRUE,#616161
67,1,1,TRUE,#616161
68,1,1,TRUE,#616161
69,1,1,TRUE,#616161
70,2,2,TRUE,#616161
71,1,1,TRUE,#616161
72,1,1,TRUE,#616161
73,2,2,TRUE,#616161
74,1,1,TRUE,#616161
75,2,2,TRUE,#616161
76,2,2,TRUE,#616161
77,2,2,TRUE,#616161
78,1,1,TRUE,#616161
79,2,2,TRUE,#616161
80,1,1,TRUE,#616161
81,1,1,TRUE,#616161
82,1,1,TRUE,#616161
83,2,2,TRUE,#616161
84,2,2,TRUE,#616161
85,1,1,TRUE,#616161
86,2,2,TRUE,#616161
87,2,2,TRUE,#616161
88,2,2,TRUE,#616161
89,2,2,TRUE,#616161
90,2,2,TRUE,#616161
91,1,1,TRUE,#616161
92,1,1,TRUE,#616161
93,1,1,TRUE,#616161
94,1,1,TRUE,#616161
95,1,1,TRUE,#616161
96,1,1,TRUE,#616161
97,1,1,TRUE,#616161
98,1,1,TRUE,#616161
99,1,1,TRUE,#616161
100,1,1,TRUE,#616161
101,1,1,TRUE,#616161
